StoreNumber,City,State,District,Latitude,Longitude
6566,Scottsburg,IN,9940,38.685524,-85.796186
6567,Sapulpa,OK,10438,35.987921,-96.135565
6568,McAlester,OK,10440,34.919003,-95.743927
6569,Wagoner,OK,10440,35.957379,-95.396039
6573,West Melbourne,FL,9538,28.035831,-80.648867
6574,Newport,TN,9132,35.942885,-83.209913
6578,Ada,OK,10439,34.789549,-96.653544
6581,Oklahoma City,OK,10434,35.365137,-97.530428
6582,Yukon,OK,10434,35.489142,-97.762196
6585,Paris,IL,9944,39.602812,-87.682691
6586,Linton,IN,9934,39.038022,-87.131113
6587,Broken Arrow,OK,10438,36.060408,-95.817867
6588,Woodward,OK,10434,36.41217,-99.380833
6589,Tulsa,OK,10438,36.158967,-95.885821
6591,West Helena,AR,10142,34.555916,-90.652732
6597,Spruce Pine,NC,10642,35.869287,-82.043732
6598,Nicholasville,KY,9141,37.898551,-84.564026
6601,Madison,IN,9940,38.782385,-85.378767
6605,Claremore,OK,10438,36.294573,-95.629167
6606,Edmond,OK,10434,35.664796,-97.513642
6607,Ponca City,OK,10434,36.738991,-97.071447
6609,Leesburg,FL,9531,28.840959,-81.898775
6612,Owasso,OK,10438,36.293443,-95.838623
6615,Columbia,SC,10641,34.112878,-80.887318
6618,Tulsa,OK,10438,36.046048,-95.903639
6619,Daphne,AL,9242,30.625447,-87.907102
6621,Seguin,TX,10741,29.564841,-97.942888
6622,Goose Creek,SC,10243,33.033989,-80.06165
6624,Wilmington,NC,10231,34.244171,-77.875883
6627,Fort Worth,TX,9834,32.637288,-97.369353
6628,The Woodlands,TX,9332,30.208861,-95.458464
6630,Mentor,OH,9933,41.679033,-81.305522
6631,El Reno,OK,10434,35.510027,-97.974207
6633,Albany,GA,9241,31.622964,-84.214646
6636,Dallas,TX,9835,32.995403,-96.85581
6637,Oklahoma City,OK,10434,35.638741,-97.532766
6640,Carrollton,KY,9940,38.657553,-85.129219
6645,Greenville,NC,10231,35.576934,-77.389366
6649,Adrian,MI,9932,41.874731,-84.031937
6651,Hugo,OK,10440,34.006794,-95.489581
6652,Ludington,MI,9932,43.95581,-86.400541
6660,Port Richey,FL,9537,28.283795,-82.716217
6666,Bowling Green,OH,9941,41.355856,-83.651108
6667,Madisonville,TN,9133,35.511624,-84.36114
6671,Manchester,TN,9138,35.454884,-86.045553
6676,Taylorsville,NC,10642,35.909401,-81.177573
6678,Clinton,AR,10134,35.567216,-92.452497
6679,McDonough,GA,10631,33.430724,-84.182787
6681,Springfield,MO,10139,37.182368,-93.351815
6683,Greenville,MS,10142,33.368425,-91.041052
6685,Lafayette,LA,9437,30.187057,-92.07571
6686,Orange Park,FL,9533,30.101568,-81.707248
6687,Angola,IN,9939,41.661136,-84.999024
6688,Caro,MI,9936,43.500089,-83.382214
6690,New Braunfels,TX,10741,29.684544,-98.126161
6691,South Haven,MI,9932,42.406473,-86.250541
6694,Calera,AL,9238,33.145677,-86.749616
6696,Kingsport,TN,9137,36.556396,-82.604962
6698,Wauchula,FL,9539,27.567871,-81.81505
6699,Washington Court House,OH,9937,39.523433,-83.457946
6700,Alpena,MI,9936,45.062018,-83.476672
6701,Lewisville,TX,9839,33.071937,-97.038779
6704,El Paso,TX,10738,31.682397,-106.313972
6705,Tulsa,OK,10440,36.118504,-95.852171
6706,Houston,TX,9334,29.921819,-95.60344
6707,Orlando,FL,9536,28.514332,-81.461058
6708,Effingham,IL,9944,39.141904,-88.563339
6709,Hot Springs,AR,10134,34.456185,-93.061442
6710,Morristown,TN,9137,36.213879,-83.257425
6713,Erwin,NC,10241,35.323441,-78.64742
6714,Pinellas Park,FL,9537,27.845061,-82.687071
6715,Macon,GA,10636,32.809416,-83.721115
6717,Houston,TX,9334,29.845743,-95.64513
6718,Baytown,TX,9333,29.776334,-94.977379
6719,Richmond,IN,9935,39.829341,-84.852745
6723,Saraland,AL,9243,30.801088,-88.096436
6724,Savoy,IL,9944,40.047928,-88.254171
6725,Kissimmee,FL,9536,28.341238,-81.385213
6726,Warsaw,IN,9939,41.270701,-85.853819
6728,Montgomery,AL,9240,32.383094,-86.186371
6729,Logan,OH,9933,39.540332,-82.437745
6731,Cambridge,OH,9933,39.990286,-81.574869
6732,Sidney,OH,9937,40.288647,-84.192159
6734,Springfield,IL,9944,39.840239,-89.603406
6736,Waycross,GA,10635,31.197502,-82.323043
6737,Houston,TX,9334,29.821932,-95.544757
6738,Georgetown,KY,9141,38.23166,-84.537905
6739,Conway,AR,10134,35.10852,-92.439552
6745,Cedar Park,TX,10734,30.52137,-97.83353
6748,Rogers,AR,10131,36.31368,-94.125741
6749,Rock Hill,SC,10641,34.942628,-80.961899
6750,Pensacola,FL,9231,30.495635,-87.191292
6751,Pensacola,FL,9231,30.361974,-87.359975
6753,Napoleon,OH,9941,41.405045,-84.13315
6754,Hamilton,OH,9940,39.390548,-84.507533
6759,Statesboro,GA,10633,32.433336,-81.761633
6760,Laurinburg,NC,10232,34.762275,-79.482401
6761,Gaffney,SC,10638,35.089938,-81.662393
6762,Acworth,GA,9235,34.030509,-84.659629
6765,Houston,TX,9335,29.687127,-95.587089
6766,Winder,GA,10639,33.99195,-83.756249
6767,Evans,GA,10634,33.54433,-82.140165
6768,Morehead City,NC,10231,34.734449,-76.80984
6769,Huntingdon,TN,9139,35.996428,-88.437125
6770,Cullman,AL,9237,34.150896,-86.842987
6773,Oklahoma City,OK,10434,35.391226,-97.51106
6774,Seneca,SC,10643,34.68864,-82.997134
6775,Hannibal,MO,10141,39.724863,-91.398097
6776,Clarksville,TN,9134,36.508776,-87.271458
6777,Rogersville,TN,9137,36.396694,-83.017615
6779,Kemah,TX,9331,29.536585,-95.019451
6783,Suwanee,GA,10632,34.038256,-84.050715
6784,Horn Lake,MS,10142,34.962369,-90.032678
6786,Wilmington,NC,10231,34.144615,-77.89713
6788,Athens,GA,10634,33.919498,-83.443307
6792,Clarksville,AR,10133,35.449776,-93.461983
6793,Louisville,KY,9142,38.143705,-85.584924
6794,Wiggins,MS,9435,30.844883,-89.146597
6795,Mason City,IA,9945,43.147145,-93.261355
6797,Laredo,TX,9342,27.517351,-99.449984
6798,Springfield,TN,9134,36.485055,-86.886585
6799,Conway,AR,10134,35.07127,-92.49583
6801,Benton,AR,10136,34.57752,-92.582418
6803,Heber Springs,AR,10134,35.507311,-92.02957
6808,Thomasville,NC,10238,35.856592,-80.067712
6809,Sturgis,MI,9932,41.784626,-85.427608
6812,North Richland Hills,TX,9839,32.904485,-97.188187
6815,Forest City,NC,10642,35.335188,-81.8971
6816,Lima,OH,9941,40.730414,-84.057905
6817,Humble,TX,9336,29.997879,-95.175772
6818,Palatka,FL,9532,29.636646,-81.679979
6819,Bellefontaine,OH,9941,40.329183,-83.759796
6820,Dunnellon,FL,9531,29.064189,-82.454153
6824,San Antonio,TX,10740,29.399995,-98.388168
6825,Pompano Beach,FL,9534,26.230551,-80.153957
6827,Bloomington,IL,9944,40.488052,-89.040403
6828,Carmi,IL,9143,38.075376,-88.190901
6830,Bushnell,FL,9531,28.668152,-82.139161
6831,Frankfort,IN,9935,40.279298,-86.477997
6833,Hillsboro,OH,9937,39.226265,-83.622462
6834,Bolivar,TN,10143,35.278621,-89.023963
6835,Durant,OK,10439,34.000001,-96.410522
6836,Zephyrhills,FL,9537,28.268461,-82.188946
6837,Melbourne,FL,9538,28.23057,-80.724292
6838,Brandon,FL,9537,27.938359,-82.265445
6840,Savannah,TN,9139,35.22594,-88.215862
6841,Royal Palm Beach,FL,9534,26.691054,-80.19945
6843,Sioux City,IA,9938,42.435394,-96.362294
6844,Columbus,IN,9934,39.208392,-85.879871
6845,Brooksville,FL,9537,28.534733,-82.408007
6848,Franklin,IN,9934,39.500914,-86.067136
6849,Clinton,IA,9945,41.816849,-90.242751
6850,Davenport,IA,9945,41.580653,-90.52729
6851,Jackson,OH,9937,39.031397,-82.623975
6852,Cape Coral,FL,9535,26.621376,-81.940444
6858,Roxboro,NC,10238,36.375336,-78.983514
6859,Newark,OH,9933,40.085704,-82.428146
6860,Broken Arrow,OK,10440,36.032292,-95.799155
6862,Thomaston,GA,10636,32.912879,-84.331734
6863,St. Cloud,FL,9538,28.254518,-81.31746
6864,Houston,MO,10132,37.313878,-91.960517
6865,Greenfield,IN,9935,39.811964,-85.768625
6867,Miami,OK,10438,36.904023,-94.877961
6868,Dickson,TN,9131,36.061478,-87.381384
6870,Desloge,MO,10141,37.881684,-90.512042
6873,Indianapolis,IN,9935,39.860122,-85.976627
6875,Wilmington,OH,9937,39.45232,-83.781754
6876,Fishers,IN,9935,39.928272,-86.019815
6877,Fulton,MS,9232,34.242358,-88.398668
6878,Vinita,OK,10438,36.631474,-95.142898
6879,El Paso,TX,10736,31.782945,-106.284596
6880,Mobile,AL,9243,30.650767,-88.161591
6882,Salem,IL,9944,38.624034,-88.982085
6883,Lawton,OK,10439,34.632266,-98.474136
6884,Boaz,AL,9237,34.215989,-86.156509
6885,Ozark,AL,9241,31.443691,-85.650721
6887,East Ellijay,GA,9235,34.657717,-84.489753
6889,Murfreesboro,TN,9138,35.832012,-86.348818
6896,Greenwood,AR,10133,35.219614,-94.297457
6897,Lake Charles,LA,9437,30.270667,-93.180751
6899,Mustang,OK,10434,35.392006,-97.705182
6900,North Augusta,SC,10634,33.503041,-81.958735
6902,Arcadia,FL,9539,27.208323,-81.827573
6906,Marrero,LA,9432,29.876523,-90.09336
6907,Wetumpka,AL,9240,32.506816,-86.214074
6908,Memphis,TN,10143,35.070604,-89.864103
6910,Nevada,MO,10139,37.834033,-94.327462
6913,Tallahassee,FL,9234,30.543216,-84.229051
6914,Oviedo,FL,9536,28.61293,-81.208134
6916,Montgomery,TX,9332,30.382839,-95.65109
6917,Pass Christian,MS,9435,30.33236,-89.190092
6920,Fort Myers,FL,9535,26.611957,-81.814909
6921,Sioux City,IA,9938,42.531877,-96.37231
6922,Leitchfield,KY,9142,37.486443,-86.265806
6923,Storm Lake,IA,9938,42.663409,-95.20013
6924,Centre,AL,9239,34.161514,-85.713996
6926,Wynne,AR,10134,35.252017,-90.777503
6927,Maysville,KY,9141,38.622324,-83.785895
6928,Waverly,TN,9131,36.082431,-87.833012
6929,Austin,TX,10734,30.34046,-97.69171
6930,Hurst,TX,9839,32.846736,-97.185703
6931,Fort Wayne,IN,9939,41.129817,-85.010142
6934,Zanesville,OH,9933,39.892302,-82.046329
6935,Moraine,OH,9937,39.710362,-84.204164
6936,Roanoke Rapids,NC,10241,36.428794,-77.631483
6938,Clayton,NC,10236,35.664449,-78.497559
6939,Orangeburg,SC,10243,33.525061,-80.888967
6940,Central,SC,10643,34.707587,-82.760391
6941,Jacksonville,FL,9533,30.319113,-81.490699
6942,Bremen,GA,10631,33.709339,-85.163136
6943,Radcliff,KY,9142,37.848953,-85.94391
6945,Ottumwa,IA,9945,41.015122,-92.458296
6946,Salem,OH,9933,40.900939,-80.818655
6950,Houston,TX,9335,29.720529,-95.644957
6951,Georgetown,TX,10739,30.64495,-97.6894
6952,Pell City,AL,9239,33.610123,-86.279586
6953,Yulee,FL,9533,30.621323,-81.533345
6954,Enid,OK,10434,36.389825,-97.944406
6955,Nashville,AR,10135,33.92443,-93.855947
6957,West City,IL,9143,37.999195,-88.937653
6960,Morrow,GA,10631,33.590754,-84.338235
6962,Shelbyville,IN,9934,39.524413,-85.742152
6963,Jeffersontown,KY,9940,38.188746,-85.564728
6964,Converse,TX,10740,29.498079,-98.322624
6966,Seminole,OK,10439,35.246857,-96.653921
6967,Austin,TX,10734,30.412433,-97.674593
6968,San Antonio,TX,10740,29.491716,-98.437187
6969,Tampa,FL,9537,28.064021,-82.552793
6970,Cedar Falls,IA,9945,42.484617,-92.440373
6971,Bristol,TN,9137,36.544448,-82.236908
6972,San Antonio,TX,10737,29.486906,-98.535445
6973,Davenport,IA,9945,41.559574,-90.623551
6975,Antioch,TN,9131,36.062575,-86.629805
6976,West Burlington,IA,9945,40.813661,-91.158531
6977,Bartlesville,OK,10438,36.740289,-95.934668
6978,Knoxville,TN,9132,36.031364,-83.868487
6981,Sanford,FL,9531,28.803982,-81.330478
6983,San Antonio,TX,10737,29.517017,-98.63517
6984,Amarillo,TX,10733,35.21186,-101.90315
6985,Baton Rouge,LA,9436,30.408528,-91.019801
6986,Hermitage,TN,9131,36.216819,-86.598195
6988,Baton Rouge,LA,9434,30.460094,-91.089816
6990,Slidell,LA,9432,30.280614,-89.749691
6991,Warsaw,MO,10132,38.26323,-93.370862
6992,Martinsville,IN,9934,39.417459,-86.408232
6994,Kendallville,IN,9939,41.445726,-85.224141
7000,Houghton Lake,MI,9932,44.298179,-84.68106
7001,Port St. Lucie,FL,9534,27.314208,-80.401053
7003,Mount Pleasant,IA,9945,40.978182,-91.539845
7004,Knoxville,TN,9132,35.910486,-83.846301
7005,Oskaloosa,IA,9945,41.296909,-92.668611
7006,Quincy,IL,10141,39.936417,-91.331637
7007,Fremont,MI,9932,43.468052,-85.976568
7008,Cookeville,TN,9135,36.143876,-85.499896
7011,Houston,TX,9335,29.656118,-95.529639
7013,Lewisville,TX,9839,33.003094,-96.990532
7016,Avon,IN,9934,39.764166,-86.355591
7018,Wharton,TX,9335,29.327194,-96.123261
7020,Lilburn,GA,10632,33.904507,-84.111814
7021,Vandalia,IL,9944,38.966426,-89.132532
7024,Iron Mountain,MI,9936,45.809113,-88.037722
7026,Cleveland,TN,9133,35.127248,-84.867118
7027,Cookeville,TN,9135,36.18411,-85.458875
7028,Perry,FL,9234,30.101306,-83.58254
7031,North Little Rock,AR,10136,34.787953,-92.216146
7033,Ava,MO,10132,36.961647,-92.676724
7034,Idabel,OK,10440,33.896302,-94.804179
7036,Dumas,TX,10733,35.841043,-101.972165
7038,Macon,GA,10636,32.880617,-83.759971
7039,McKinney,TX,9835,33.158252,-96.683546
7040,Spring,TX,9332,30.076167,-95.5148
7042,Crosby,TX,9333,29.89501,-95.063913
7043,Lampasas,TX,10731,31.06397,-98.159884
7044,Loganville,GA,10639,33.841637,-83.908515
7045,Mansura,LA,9434,31.096859,-92.060113
7050,Silsbee,TX,9333,30.339602,-94.148613
7051,Pelham,AL,9238,33.339368,-86.792237
7052,Stone Mountain,GA,10639,33.826268,-84.124995
7053,Dallas,TX,9833,32.647938,-96.871331
7054,Cypress,TX,9334,29.974651,-95.699194
7055,San Antonio,TX,10740,29.353697,-98.477413
7056,Baker,LA,9434,30.57931,-91.127531
7057,Columbia,SC,10640,33.962413,-80.940585
7059,Taylors,SC,10643,34.907984,-82.330507
7060,Ozark,MO,10139,37.004111,-93.225535
7061,Hazard,KY,9137,37.29695,-83.214124
7062,Ashland City,TN,9131,36.249485,-87.032924
7066,Keller,TX,9839,32.893764,-97.287222
7067,Lithonia,GA,10639,33.702231,-84.168056
7069,Wylie,TX,9842,33.02337,-96.511925
7072,Auburndale,FL,9537,28.057881,-81.814931
7073,Duluth,GA,10632,33.969414,-84.148294
7074,Chattanooga,TN,9133,35.010521,-85.207354
7076,Lamar,MO,10139,37.496518,-94.301004
7077,Keokuk,IA,9945,40.420302,-91.409788
7079,Gulf Shores,AL,9242,30.265417,-87.68686
7084,Hialeah,FL,9540,25.933954,-80.294769
7085,Wake Forest,NC,10236,35.949735,-78.535
7087,Greenville,AL,9241,31.850291,-86.643931
7088,Trumann,AR,10138,35.681034,-90.551384
7089,Shawnee,OK,10439,35.384742,-96.921418
7097,Fort Worth,TX,9834,32.776285,-97.28968
7098,Rockport,TX,9341,28.046512,-97.043022
7099,Louisville,MS,9433,33.121827,-89.084715
7101,Bowie,TX,9840,33.539873,-97.835539
7102,Little Rock,AR,10136,34.808828,-92.488717
7103,Poinciana,FL,9536,28.144523,-81.447533
7106,Fulton,KY,9143,36.515982,-88.899717
7111,Bardstown,KY,9142,37.800663,-85.434177
7112,Raleigh,NC,10236,35.799679,-78.562082
7113,Elizabethton,TN,9137,36.347819,-82.243959
7114,Evansville,IN,9143,37.974471,-87.638589
7115,Antioch,IL,9943,42.466825,-88.06491
7116,Hot Springs Village,AR,10134,34.632088,-93.058611
7117,Crossett,AR,10135,33.137843,-91.941793
7119,Saginaw,TX,9839,32.881417,-97.383938
7120,Sandersville,GA,10634,32.951679,-82.809689
7121,Pampa,TX,10733,35.568815,-100.967034
7123,Fayetteville,AR,10131,36.123177,-94.150207
7124,Monroe,LA,9431,32.525671,-92.095243
7125,Uvalde,TX,10737,29.23361,-99.75355
7127,Galena,IL,9943,42.433744,-90.446624
7129,Jacksonville,FL,9533,30.286297,-81.563051
7130,Boiling Springs,SC,10638,35.050641,-81.985189
7131,Greenville,SC,10643,34.855239,-82.455001
7132,Greer,SC,10643,34.94593,-82.207713
7133,Fort Smith,AR,10133,35.348294,-94.339947
7134,Hot Springs,AR,10134,34.492769,-93.090053
7135,Jonesboro,AR,10138,35.81577,-90.732088
7138,New Orleans,LA,9432,29.912703,-90.018388
7139,Winnsboro,LA,9431,32.181066,-91.727063
7143,Mission,TX,9339,26.194617,-98.285463
7144,Jacksonville,FL,9533,30.301889,-81.760842
7146,Florence,SC,10232,34.155197,-79.766587
7148,Fremont,OH,9941,41.373447,-83.118713
7149,Wauseon,OH,9941,41.573992,-84.136207
7150,Excelsior Springs,MO,10137,39.331427,-94.265203
7151,Chillicothe,OH,9937,39.346482,-82.972081
7152,Midland,MI,9936,43.660835,-84.24023
7154,Melbourne,FL,9538,28.171526,-80.672331
7155,Orlando,FL,9536,28.541189,-81.276884
7156,Lovejoy,GA,10631,33.444158,-84.323953
7157,Louisville,KY,9940,38.199844,-85.669621
7159,Hernando,MS,10142,34.822607,-89.971368
7160,Bedford,TX,9839,32.844283,-97.132681
7161,Brownsville,TX,9342,25.943116,-97.426294
7162,Clayton,OH,9940,39.857831,-84.331774
7163,Canton,OH,9933,40.796388,-81.421589
7164,Atlantic,IA,9938,41.403558,-94.986173
7166,Rockford,IL,9943,42.314828,-89.11396
7167,Celina,OH,9941,40.556272,-84.541327
7168,Kenton,OH,9941,40.655901,-83.582495
7169,Wapakoneta,OH,9941,40.563582,-84.177246
7170,Jacksonville,AL,9239,33.787745,-85.762119
7173,Hazlehurst,GA,10635,31.863788,-82.585966
7174,Clarksdale,MS,10142,34.182695,-90.591434
7176,Sweetwater,TX,10731,32.45187,-100.393761
7177,Fairfield,IL,9143,38.377868,-88.388606
7178,Indianapolis,IN,9934,39.700078,-86.083143
7179,Cadillac,MI,9932,44.282171,-85.397027
7181,Mexico,MO,10141,39.120937,-91.893163
7182,Camdenton,MO,10132,38.023641,-92.72359
7183,Marshall,MO,10132,39.111835,-93.213569
7184,Flippin,AR,10131,36.27559,-92.601667
7185,Malvern,AR,10135,34.390809,-92.830131
7187,Pryor,OK,10438,36.261876,-95.332548
7188,Canyon,TX,10733,34.999027,-101.920661
7189,Roanoke,TX,9839,33.013968,-97.219526
7190,Kissimmee,FL,9536,28.344176,-81.486045
7191,Ville Platte,LA,9434,30.684886,-92.261795
7192,Blue Springs,MO,10137,39.026447,-94.255645
7194,Lewisburg,TN,9138,35.469594,-86.790757
7196,Palmhurst,TX,9339,26.261269,-98.317418
7197,Rockdale,TX,10734,30.644026,-97.033481
7199,Cairo,GA,9241,30.885938,-84.20521
7201,Eatonton,GA,10634,33.29585,-83.386308
7202,Stanford,KY,9142,37.547761,-84.646861
7203,De Queen,AR,10133,34.045098,-94.318645
7204,Port Lavaca,TX,9341,28.633353,-96.628311
7205,Swainsboro,GA,10633,32.589174,-82.328618
7207,Greeneville,TN,9137,36.187046,-82.761028
7208,Soddy Daisy,TN,9133,35.235512,-85.200954
7209,Austin,TX,10741,30.219217,-97.755281
7210,Harker Heights,TX,10739,31.069256,-97.671606
7211,Austin,TX,10741,30.166619,-97.789
7212,New Boston,TX,9841,33.472986,-94.403418
7217,Chalmette,LA,9432,29.957846,-89.985931
7218,El Paso,TX,10738,31.743313,-106.288067
7219,Coshocton,OH,9933,40.296976,-81.850726
7220,Marietta,GA,10632,34.017875,-84.554626
7221,Lawrenceville,GA,10632,33.937885,-84.027115
7222,Donaldsonville,LA,9436,30.093757,-90.979896
7223,Gatesville,TX,10739,31.425527,-97.715137
7224,Venice,FL,9539,27.049293,-82.396099
7225,Rockingham,NC,10232,34.914741,-79.7364
7226,Pearland,TX,9331,29.573018,-95.285632
7228,Surfside Beach,SC,10235,33.648882,-78.980576
7229,Skiatook,OK,10438,36.369123,-96.012592
7230,Fredericktown,MO,10141,37.559387,-90.321443
7231,Champaign,IL,9944,40.14685,-88.257342
7233,Eden,NC,10233,36.487341,-79.736049
7234,Sandusky,MI,9936,43.4203,-82.856995
7235,Abilene,TX,10731,32.478726,-99.70012
7236,Fort Worth,TX,9834,32.702265,-97.428257
7237,Houston,TX,9335,29.680641,-95.56007
7239,Mineral Wells,TX,9840,32.813987,-98.083467
7241,Mayodan,NC,10233,36.417894,-79.936454
7242,Reidsville,NC,10233,36.385452,-79.667993
7244,Houghton,MI,9936,47.108064,-88.588992
7246,Owosso,MI,9936,42.998233,-84.140118
7247,Mebane,NC,10238,36.068879,-79.270936
7248,Van Wert,OH,9941,40.888162,-84.580179
7249,Midland,TX,10732,31.974752,-102.073174
7250,Stilwell,OK,10440,35.798778,-94.625116
7251,Amarillo,TX,10733,35.171746,-101.862372
7252,Snellville,GA,10639,33.806089,-84.044906
7253,Mountain View,AR,10134,35.867711,-92.103958
7254,Eastland,TX,10731,32.403011,-98.792809
7255,Lindale,TX,9831,32.473909,-95.38994
